id,user_id,song_thumbnail,song_url,song_artist,song_title
38,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YuWUJg3Kdks/mqdefault.jpg,https://www.youtube.com/watch?v=YuWUJg3Kdks,Seedhe Maut,Seedhe Maut - 'Namastute' | Azadi Records
39,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YuWUJg3Kdks/mqdefault.jpg,https://www.youtube.com/watch?v=YuWUJg3Kdks,Seedhe Maut,Seedhe Maut - 'Namastute' | Azadi Records
40,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YuWUJg3Kdks/mqdefault.jpg,https://www.youtube.com/watch?v=YuWUJg3Kdks,Seedhe Maut,Seedhe Maut - 'Namastute' | Azadi Records
41,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YuWUJg3Kdks/mqdefault.jpg,https://www.youtube.com/watch?v=YuWUJg3Kdks,Seedhe Maut,Seedhe Maut - 'Namastute' | Azadi Records
42,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YuWUJg3Kdks/mqdefault.jpg,https://www.youtube.com/watch?v=YuWUJg3Kdks,Seedhe Maut,Seedhe Maut - 'Namastute' | Azadi Records
43,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/mGwz92koI6o/mqdefault.jpg,https://www.youtube.com/watch?v=mGwz92koI6o,Seedhe Maut,Seedhe Maut - Raat ki Rani || Shakti || dl91
44,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/Ie6ODMbwSCo/mqdefault.jpg,https://www.youtube.com/watch?v=Ie6ODMbwSCo,Seedhe Maut - Topic,Luka Chippi
45,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/3beb3HXqCms/mqdefault.jpg,https://www.youtube.com/watch?v=3beb3HXqCms,Seedhe Maut,Seedhe Maut - 'Nanchaku' ft MC STΔN | Azadi Records
46,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/YVkUvmDQ3HY/mqdefault.jpg,https://www.youtube.com/watch?v=YVkUvmDQ3HY,EminemVEVO,Eminem - Without Me (Official Music Video)
47,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/S9bCLPwzSC0/mqdefault.jpg,https://www.youtube.com/watch?v=S9bCLPwzSC0,EminemVEVO,Eminem - Mockingbird [Official Music Video]
48,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/j5-yKhDd64s/mqdefault.jpg,https://www.youtube.com/watch?v=j5-yKhDd64s,EminemVEVO,Eminem - Not Afraid
49,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/uelHwf8o7_U/mqdefault.jpg,https://www.youtube.com/watch?v=uelHwf8o7_U,EminemVEVO,Eminem - Love The Way You Lie ft. Rihanna
50,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/xFYQQPAOz7Y/mqdefault.jpg,https://www.youtube.com/watch?v=xFYQQPAOz7Y,EminemMusic,Eminem - Lose Yourself
51,f540bf1e-1074-45c5-874d-c6524660bf80,https://i.ytimg.com/vi/XbGs_qK2PQA/mqdefault.jpg,https://www.youtube.com/watch?v=XbGs_qK2PQA,EminemVEVO,Eminem - Rap God (Explicit)
52,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/YVkUvmDQ3HY/mqdefault.jpg,https://www.youtube.com/watch?v=YVkUvmDQ3HY,EminemVEVO,Eminem - Without Me (Official Music Video)
53,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/S9bCLPwzSC0/mqdefault.jpg,https://www.youtube.com/watch?v=S9bCLPwzSC0,EminemVEVO,Eminem - Mockingbird [Official Music Video]
54,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/j5-yKhDd64s/mqdefault.jpg,https://www.youtube.com/watch?v=j5-yKhDd64s,EminemVEVO,Eminem - Not Afraid
55,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/uelHwf8o7_U/mqdefault.jpg,https://www.youtube.com/watch?v=uelHwf8o7_U,EminemVEVO,Eminem - Love The Way You Lie ft. Rihanna
56,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/xFYQQPAOz7Y/mqdefault.jpg,https://www.youtube.com/watch?v=xFYQQPAOz7Y,EminemMusic,Eminem - Lose Yourself
57,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/XbGs_qK2PQA/mqdefault.jpg,https://www.youtube.com/watch?v=XbGs_qK2PQA,EminemVEVO,Eminem - Rap God (Explicit)
58,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/JByDbPn6A1o/mqdefault.jpg,https://www.youtube.com/watch?v=JByDbPn6A1o,EminemVEVO,Eminem - Space Bound (Official Video)
59,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/D4hAVemuQXY/mqdefault.jpg,https://www.youtube.com/watch?v=D4hAVemuQXY,EminemVEVO,Eminem - Sing For The Moment (Official Music Video)
60,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/5qm8PH4xAss/mqdefault.jpg,https://www.youtube.com/watch?v=5qm8PH4xAss,50CentVEVO,50 Cent - In Da Club (Official Music Video)
61,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/SRcnnId15BA/mqdefault.jpg,https://www.youtube.com/watch?v=SRcnnId15BA,50CentVEVO,50 Cent - Candy Shop (Official Music Video) ft. Olivia
62,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/GllEDACUbNo/mqdefault.jpg,https://www.youtube.com/watch?v=GllEDACUbNo,50CentVEVO,50 Cent - Just A Lil Bit
63,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/5D3crqpClPY/mqdefault.jpg,https://www.youtube.com/watch?v=5D3crqpClPY,50CentVEVO,50 Cent - Many Men (Wish Death) (Dirty Version)
64,91cacd43-a2f1-49e8-8fe3-6ac2d66e61e1,https://i.ytimg.com/vi/22tVWwmTie8/mqdefault.jpg,https://www.youtube.com/watch?v=22tVWwmTie8,EminemVEVO,Eminem - Houdini [Official Music Video]
